State,Senator1,Senator1Class,Senator2,Senator2Class
Wisconsin,"Baldwin, Tammy",I,"Johnson, Ron",III
Wyoming,"Barrasso, John",I,"Lummis, Cynthia M.",II
Colorado,"Bennet, Michael F.",III,"Hickenlooper, John W.",II
Tennessee,"Blackburn, Marsha",I,"Hagerty, Bill",II
Connecticut,"Blumenthal, Richard",III,"Murphy, Christopher",I
New Jersey,"Booker, Cory A.",II,"Menendez, Robert",I
Arkansas,"Boozman, John",III,"Cotton, Tom",II
Indiana,"Braun, Mike",I,"Young, Todd",III
Alabama,"Britt, Katie Boyd",III,"Tuberville, Tommy",II
Ohio,"Brown, Sherrod",I,"Vance, J.D.",III
North Carolina,"Budd, Ted",III,"Tillis, Thom",II
California,"Butler, Laphonza R.",I,"Padilla, Alex",III
Washington,"Cantwell, Maria",I,"Murray, Patty",III
West Virginia,"Capito, Shelley Moore",II,"Manchin, Joe, III",I
Maryland,"Cardin, Benjamin L.",I,"Van Hollen, Chris",III
Delaware,"Carper, Thomas R.",I,"Coons, Christopher A.",II
Pennsylvania,"Casey, Robert P., Jr.",I,"Fetterman, John",III
Louisiana,"Cassidy, Bill",II,"Kennedy, John",III
Maine,"Collins, Susan M.",II,"King, Angus S., Jr.",I
Texas,"Cornyn, John",II,"Cruz, Ted",I
Nevada,"Cortez Masto, Catherine",III,"Rosen, Jacky",I
North Dakota,"Cramer, Kevin",I,"Hoeven, John",III
Idaho,"Crapo, Mike",III,"Risch, James E.",II
Montana,"Daines, Steve",II,"Tester, Jon",I
Illinois,"Duckworth, Tammy",III,"Durbin, Richard J.",II
Iowa,"Ernst, Joni",II,"Grassley, Chuck",III
Nebraska,"Fischer, Deb",I,"Ricketts, Pete",II
New York,"Gillibrand, Kirsten E.",I,"Schumer, Charles E.",III
South Carolina,"Graham, Lindsey",II,"Scott, Tim",III
New Hampshire,"Hassan, Margaret Wood",III,"Shaheen, Jeanne",II
Missouri,"Hawley, Josh",I,"Schmitt, Eric",III
New Mexico,"Heinrich, Martin",I,"Lujï¿½n, Ben Ray",II
Hawaii,"Hirono, Mazie K.",I,"Schatz, Brian",III
Mississippi,"Hyde-Smith, Cindy",II,"Wicker, Roger F.",I
Virginia,"Kaine, Tim",I,"Warner, Mark R.",II
Arizona,"Kelly, Mark",III,"Sinema, Kyrsten",I
Minnesota,"Klobuchar, Amy",I,"Smith, Tina",II
Oklahoma,"Lankford, James",III,"Mullin, Markwayne",II
Utah,"Lee, Mike",III,"Romney, Mitt",I
Massachusetts,"Markey, Edward J.",II,"Warren, Elizabeth",I
Kansas,"Marshall, Roger",II,"Moran, Jerry",III
Kentucky,"McConnell, Mitch",II,"Paul, Rand",III
Oregon,"Merkley, Jeff",II,"Wyden, Ron",III
Alaska,"Murkowski, Lisa",III,"Sullivan, Dan",II
Georgia,"Ossoff, Jon",II,"Warnock, Raphael G.",III
Michigan,"Peters, Gary C.",II,"Stabenow, Debbie",I
Rhode Island,"Reed, Jack",II,"Whitehouse, Sheldon",I
South Dakota,"Rounds, Mike",II,"Thune, John",III
Florida,"Rubio, Marco",III,"Scott, Rick",I
Vermont,"Sanders, Bernard",I,"Welch, Peter",III
